
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-09-11 23:33:11 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-11 23:33:11 /fonts/cairo-arabic.woff2 .................... ~ 0.14ms
  2026-09-11 23:33:11 /logo.jpg .................................... ~ 0.24ms
  2026-09-11 23:33:11 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-11 23:33:11 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-11 23:33:25 /admin/inventory ........................... ~ 500.37ms
  2026-09-11 23:33:25 /fonts/cairo-arabic.woff2 .................... ~ 0.03ms
  2026-09-11 23:33:25 /css/app.css?v=1789168546 .................... ~ 0.17ms
  2026-09-11 23:33:25 /logo.jpg .................................... ~ 0.02ms
  2026-09-11 23:33:25 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-11 23:33:25 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-11 23:33:28 /admin/requests .............................. ~ 0.08ms
  2026-09-11 23:33:28 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-11 23:33:28 /fonts/cairo-arabic.woff2 .................... ~ 0.16ms
  2026-09-11 23:33:28 /logo.jpg .................................... ~ 0.27ms
  2026-09-11 23:33:28 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-11 23:33:28 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-11 23:34:52 / ............................................ ~ 0.09ms
  2026-09-11 23:34:52 /track ....................................... ~ 0.02ms
  2026-09-11 23:34:52 /admin ..................................... ~ 500.38ms
  2026-09-12 00:30:32 /login ....................................... ~ 0.11ms
  2026-09-12 00:31:13 /login ....................................... ~ 0.09ms
  2026-09-12 00:31:13 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:13 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:13 /reception ................................. ~ 500.37ms
  2026-09-12 00:31:13 /reception/inventory ......................... ~ 0.02ms
  2026-09-12 00:31:14 /reception/customers ......................... ~ 0.02ms
  2026-09-12 00:31:14 /reception/stats ............................. ~ 0.01ms
  2026-09-12 00:31:14 /reception/expenses ........................ ~ 500.37ms
  2026-09-12 00:31:14 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:14 /reception/notifications ..................... ~ 0.01ms
  2026-09-12 00:31:14 /reception/lookup ............................ ~ 0.01ms
  2026-09-12 00:31:14 /department .................................. ~ 0.01ms
  2026-09-12 00:31:14 /department/requests ....................... ~ 500.39ms
  2026-09-12 00:31:14 /department/sales ............................ ~ 0.02ms
  2026-09-12 00:31:14 /department/technicians ...................... ~ 0.02ms
  2026-09-12 00:31:15 /department/customers ........................ ~ 0.01ms
  2026-09-12 00:31:15 /department/inventory ........................ ~ 0.01ms
  2026-09-12 00:31:15 /department/financial ...................... ~ 500.33ms
  2026-09-12 00:31:15 /department/notifications .................... ~ 0.02ms
  2026-09-12 00:31:15 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:15 /reception ................................... ~ 0.01ms
  2026-09-12 00:31:15 /department .................................. ~ 0.01ms
  2026-09-12 00:31:15 /login ..................................... ~ 500.36ms
  2026-09-12 00:31:15 /reception ................................... ~ 0.02ms
  2026-09-12 00:31:16 /department .................................. ~ 0.02ms
  2026-09-12 00:31:16 /technician .................................. ~ 0.01ms
  2026-09-12 00:31:16 /reception/inventory ......................... ~ 0.01ms
  2026-09-12 00:31:16 /reception/customers ....................... ~ 500.39ms
  2026-09-12 00:31:16 /reception/expenses .......................... ~ 0.02ms
  2026-09-12 00:31:16 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:16 /reception ................................... ~ 0.02ms
  2026-09-12 00:31:16 /reception/inventory ....................... ~ 500.48ms
  2026-09-12 00:31:16 /reception/partners .......................... ~ 0.04ms
  2026-09-12 00:31:16 /reception ................................... ~ 0.02ms
  2026-09-12 00:31:17 /reception/expenses .......................... ~ 0.03ms
  2026-09-12 00:31:17 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:17 /reception/customers ....................... ~ 500.38ms
  2026-09-12 00:31:17 /department/sales ............................ ~ 0.02ms
  2026-09-12 00:31:17 /department/technicians ...................... ~ 0.01ms
  2026-09-12 00:31:48 /login ....................................... ~ 0.10ms
  2026-09-12 00:31:48 /login ..................................... ~ 500.34ms
  2026-09-12 00:31:48 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:48 /login ..................................... ~ 500.38ms
  2026-09-12 00:31:49 /login ....................................... ~ 0.03ms
  2026-09-12 00:31:49 /login ..................................... ~ 500.39ms
  2026-09-12 00:31:49 /reception ................................... ~ 0.02ms
  2026-09-12 00:31:49 /reception/inventory ......................... ~ 0.01ms
  2026-09-12 00:31:49 /reception/customers ....................... ~ 500.39ms
  2026-09-12 00:31:49 /reception/stats ............................. ~ 0.02ms
  2026-09-12 00:31:49 /reception/expenses .......................... ~ 0.01ms
  2026-09-12 00:31:50 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:50 /reception/notifications ..................... ~ 0.01ms
  2026-09-12 00:31:50 /reception/lookup .......................... ~ 500.39ms
  2026-09-12 00:31:50 /department .................................. ~ 0.02ms
  2026-09-12 00:31:50 /department/requests ......................... ~ 0.01ms
  2026-09-12 00:31:50 /department/sales ............................ ~ 0.01ms
  2026-09-12 00:31:50 /department/technicians ...................... ~ 0.01ms
  2026-09-12 00:31:50 /department/customers ...................... ~ 500.42ms
  2026-09-12 00:31:50 /department/inventory ........................ ~ 0.02ms
  2026-09-12 00:31:51 /department/financial ........................ ~ 0.02ms
  2026-09-12 00:31:51 /department/notifications .................... ~ 0.02ms
  2026-09-12 00:31:51 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:51 /login ..................................... ~ 500.39ms
  2026-09-12 00:31:51 /reception ................................... ~ 0.03ms
  2026-09-12 00:31:51 /department .................................. ~ 0.02ms
  2026-09-12 00:31:51 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:51 /login ..................................... ~ 500.42ms
  2026-09-12 00:31:52 /reception ................................... ~ 0.02ms
  2026-09-12 00:31:52 /department ................................ ~ 500.39ms
  2026-09-12 00:31:52 /technician .................................. ~ 0.02ms
  2026-09-12 00:31:52 /reception/inventory ......................... ~ 0.01ms
  2026-09-12 00:31:52 /reception/customers ......................... ~ 0.01ms
  2026-09-12 00:31:52 /reception/expenses .......................... ~ 0.02ms
  2026-09-12 00:31:52 /reception/partners ........................ ~ 500.46ms
  2026-09-12 00:31:52 /reception ................................... ~ 0.02ms
  2026-09-12 00:31:53 /reception/inventory ......................... ~ 0.02ms
  2026-09-12 00:31:53 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:53 /reception ................................. ~ 500.38ms
  2026-09-12 00:31:53 /reception/expenses .......................... ~ 0.02ms
  2026-09-12 00:31:53 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:53 /reception ................................. ~ 500.39ms
  2026-09-12 00:31:53 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:54 /login ....................................... ~ 0.03ms
  2026-09-12 00:31:54 /reception ................................. ~ 500.40ms
  2026-09-12 00:31:54 /department/sales ............................ ~ 0.02ms
  2026-09-12 00:31:54 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:54 /reception/partners .......................... ~ 0.01ms
